CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydro pumped storage , other conventioanl , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
34," 1,104.73 ", 414.29 , 374.74 ," 1,467.92 "," 1,605.98 ", 36.73 ," 2,232.64 "," 3,731.31 "," 1,967.86 ", 871.93 , 277.74 , 708.23 ," 13,800.18 "," 10,351.84 ", 259.15 ," 9,511.96 "," 5,282.12 "," 1,596.80 "
35," 1,107.63 ", 435.46 , 416.07 ," 1,964.61 "," 1,422.05 ", 36.70 ," 2,186.66 "," 3,698.60 "," 2,183.74 "," 1,113.39 ", 268.54 , 532.40 ," 13,802.21 "," 9,999.83 ", 265.21 ," 9,714.79 "," 5,651.06 "," 2,042.98 "
36," 1,108.22 ", 466.62 , 277.30 ," 1,353.94 "," 1,330.70 ", 35.48 ," 1,944.11 "," 3,700.96 "," 2,528.53 "," 1,295.63 ", 299.28 , 369.12 ," 13,859.53 "," 10,897.94 ", 293.14 ," 9,838.34 "," 4,871.53 "," 1,185.54 "
37," 1,084.86 ", 400.92 , 627.61 ," 1,484.12 "," 1,400.37 ", 35.76 ," 1,945.55 "," 3,634.35 "," 2,423.53 "," 1,093.47 ", 288.78 , 353.91 ," 13,947.15 "," 10,435.35 ", 292.85 ," 9,450.82 "," 5,322.42 "," 1,186.05 "
38," 1,037.57 ", 358.38 , 802.87 ," 3,016.34 "," 1,521.08 ", 36.65 ," 1,923.95 "," 3,438.89 "," 1,820.25 ", 833.01 , 351.61 , 366.44 ," 14,272.45 "," 8,932.46 ", 386.82 ," 8,382.53 "," 7,124.48 "," 1,629.18 "
39," 1,088.04 ", 371.27 , 832.01 ," 2,924.84 "," 1,380.78 ", 37.56 ," 1,956.85 "," 3,699.88 "," 1,594.42 ", 816.62 , 313.50 , 353.45 ," 14,370.79 "," 9,233.52 ", 339.58 ," 8,421.23 "," 6,948.00 "," 1,473.51 "
40," 1,146.67 ", 367.00 , 696.92 ," 2,958.14 "," 1,150.16 ", 35.89 ," 1,944.91 "," 3,198.92 "," 2,308.34 ", 987.30 , 316.06 , 393.87 ," 13,795.88 "," 8,990.98 ", 330.46 ," 8,833.35 "," 6,670.84 "," 1,903.00 "
41," 1,076.60 ", 336.91 , 743.48 ," 2,076.12 "," 1,264.32 ", 35.15 ," 1,925.52 "," 3,443.52 "," 2,750.18 "," 1,277.94 ", 330.05 , 397.76 ," 14,183.07 "," 10,099.43 ", 348.69 ," 9,794.92 "," 5,862.64 "," 1,513.34 "
42," 1,109.10 ", 311.06 , 282.19 ," 1,213.35 "," 1,108.60 ", 36.06 ," 1,961.29 "," 3,794.43 "," 3,092.22 "," 1,722.71 ", 296.14 , 355.60 ," 14,223.65 "," 11,619.84 ", 305.38 ," 10,926.24 "," 4,356.50 "," 1,241.70 "
43," 1,185.58 ", 297.62 , 870.13 ," 4,131.65 ", 561.91 , 36.39 ," 1,887.37 "," 3,777.33 "," 1,791.79 "," 1,170.11 ", 293.37 , 344.07 ," 15,069.05 "," 9,505.69 ", 332.87 ," 8,970.68 "," 7,376.65 "," 1,661.90 "
