CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydrop pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
29," 1,060.67 ", 513.25 , 384.05 ," 1,134.99 "," 1,856.15 ", 35.66 ," 1,808.56 "," 3,096.66 "," 1,122.51 "," 1,637.31 ", 203.85 , 255.77 ," 13,408.96 "," 10,034.14 ", 205.22 ," 7,920.80 "," 5,188.63 ", 95.31 
30," 1,010.72 ", 486.10 , 639.81 ," 1,726.68 "," 2,254.65 ", 33.83 ," 1,551.22 "," 2,965.05 "," 1,422.79 "," 1,694.42 ", 244.45 , 255.72 ," 13,781.03 "," 9,160.21 ", 253.94 ," 7,889.20 "," 6,396.25 ", 836.82 
31," 1,034.93 ", 526.34 , 275.58 , 905.38 ," 1,636.00 ", 35.86 ," 1,888.49 "," 2,990.43 "," 1,082.93 "," 1,817.73 ", 196.59 , 297.37 ," 13,359.39 "," 10,542.78 ", 229.21 ," 8,076.95 "," 4,610.67 ",-496.69 
32," 1,028.68 ", 521.04 , 521.68 ," 1,916.41 "," 1,668.30 ", 35.39 ," 1,779.12 "," 2,660.57 ", 892.02 ," 1,641.08 ", 211.90 , 337.16 ," 13,224.33 "," 9,118.27 ", 247.61 ," 7,309.95 "," 5,903.39 ", 118.57 
33," 1,028.87 ", 541.25 , 774.82 ," 2,397.15 "," 1,624.22 ", 35.08 ," 1,716.04 "," 2,054.57 ", 639.73 ," 1,411.96 ", 225.87 , 376.47 ," 13,169.49 "," 8,373.65 ", 291.54 ," 6,198.77 "," 6,627.26 ",-197.83 
34," 1,088.36 ", 558.97 , 498.13 ," 1,299.50 "," 1,872.03 ", 33.39 ," 1,917.54 "," 2,644.11 ", 700.44 ," 1,479.10 ", 275.90 , 319.25 ," 13,147.71 "," 9,478.40 ", 276.17 ," 7,060.45 "," 5,626.27 ",-201.11 
35," 1,037.02 ", 505.43 , 234.99 , 828.24 ," 1,922.77 ", 35.93 ," 1,923.81 "," 3,106.06 "," 1,587.92 "," 1,740.11 ", 303.12 , 332.12 ," 13,693.39 "," 10,707.71 ", 290.02 ," 8,690.03 "," 4,867.51 ", 3.87 
36," 1,052.37 ", 486.94 , 853.71 ," 2,132.88 "," 1,509.77 ", 36.61 ," 1,933.61 "," 2,559.39 ", 689.97 ," 1,707.95 ", 220.67 , 319.54 ," 13,491.64 "," 8,995.62 ", 290.54 ," 7,210.46 "," 6,292.95 ", 198.05 
37," 1,058.91 ", 498.44 , 568.40 ," 1,735.92 "," 1,402.81 ", 39.94 ," 1,944.18 "," 2,821.57 ", 799.56 ," 1,694.43 ", 236.08 , 319.18 ," 13,642.46 "," 9,935.65 ", 240.49 ," 7,578.91 "," 5,540.51 ",-275.65 
38," 1,030.51 ", 396.89 , 696.49 ," 2,467.74 "," 1,647.91 ", 41.08 ," 1,931.18 "," 2,758.52 "," 1,031.99 "," 1,748.17 ", 208.80 , 323.67 ," 13,771.14 "," 8,959.33 ", 256.41 ," 7,793.53 "," 6,489.42 ", 838.17 
39," 1,017.85 ", 377.26 , 640.68 ," 2,368.03 ", 981.43 , 41.10 ," 2,215.23 "," 2,994.48 "," 1,079.60 "," 1,834.26 ", 266.43 , 352.03 ," 13,879.95 "," 9,890.13 ", 266.83 ," 8,475.60 "," 5,692.78 ", 645.36 
40," 1,069.39 ", 365.00 , 758.56 ," 4,022.39 ", 813.97 , 43.54 ," 2,231.95 "," 2,126.94 ", 793.80 ," 1,693.31 ", 266.10 , 350.82 ," 13,501.71 "," 7,907.07 ", 312.56 ," 7,196.82 "," 7,338.95 "," 1,412.30 "
41," 1,137.23 ", 452.11 ," 1,166.29 "," 4,376.15 ", 809.54 , 43.12 ," 2,208.83 "," 2,612.77 ", 855.00 ," 1,652.40 ", 270.10 , 368.83 ," 14,411.34 "," 8,059.70 ", 315.10 ," 7,697.82 "," 8,254.54 "," 1,953.65 "
42," 1,179.50 ", 404.79 , 809.55 ," 3,239.11 ", 945.12 , 41.92 ," 2,277.75 "," 2,934.83 "," 1,049.54 "," 2,001.02 ", 272.72 , 355.77 ," 14,309.92 "," 9,316.44 ", 279.00 ," 8,618.92 "," 6,892.71 "," 1,486.33 "
43," 1,186.42 ", 393.49 , 669.80 ," 2,533.52 ", 773.13 , 43.51 ," 2,280.60 "," 2,965.90 "," 1,499.16 "," 2,063.51 ", 331.11 , 340.93 ," 14,266.36 "," 10,290.21 ", 325.59 ," 9,150.10 "," 5,930.99 "," 1,026.45 "
44," 1,198.42 ", 389.06 , 651.18 ," 2,842.16 ", 670.62 , 51.19 ," 2,272.44 "," 2,863.99 "," 1,652.66 "," 1,892.58 ", 256.34 , 379.77 ," 14,040.71 "," 9,877.04 ", 293.69 ," 9,061.44 "," 6,058.97 "," 1,567.80 "
45," 1,139.49 ", 429.82 , 462.69 ," 1,758.23 ", 401.79 , 50.20 ," 2,305.03 "," 3,410.48 "," 2,072.77 "," 1,965.44 ", 279.49 , 389.70 ," 14,551.21 "," 11,928.85 ", 306.28 ," 10,143.41 "," 4,521.70 ", 620.21 
46," 1,196.74 ", 392.23 , 922.99 ," 2,923.21 ", 443.30 , 46.08 ," 2,316.60 "," 3,590.73 "," 2,279.99 "," 1,870.09 ", 230.51 , 373.63 ," 15,150.36 "," 10,861.19 ", 285.65 ," 10,431.04 "," 6,155.06 "," 1,922.42 "
47," 1,220.82 ", 413.64 , 812.99 ," 2,411.55 ", 306.57 , 48.91 ," 2,062.77 "," 3,692.79 "," 2,504.22 "," 2,008.33 ", 273.01 , 344.14 ," 15,293.07 "," 11,762.26 ", 301.75 ," 10,612.26 "," 5,487.50 "," 1,444.20 "
48," 1,222.40 ", 371.70 , 820.58 ," 3,384.13 ", 290.42 , 49.55 ," 2,276.31 "," 3,659.26 "," 1,999.64 "," 1,618.75 ", 255.36 , 356.84 ," 15,286.64 "," 10,791.77 ", 269.65 ," 9,910.81 "," 6,394.13 "," 1,566.58 "
49," 1,228.68 ", 376.57 ," 1,038.27 "," 3,654.88 ", 360.48 , 54.78 ," 2,229.69 "," 3,389.18 "," 2,010.27 "," 1,930.81 ", 306.58 , 382.01 ," 15,602.56 "," 10,549.21 ", 303.63 ," 9,941.96 "," 7,020.24 "," 1,828.42 "
50," 1,228.26 ", 364.31 ," 1,139.02 "," 5,492.75 ", 261.62 , 49.74 ," 2,147.35 "," 2,637.40 "," 1,395.76 "," 1,643.92 ", 311.97 , 383.28 ," 15,704.15 "," 8,811.06 ", 367.40 ," 8,207.71 "," 8,847.67 "," 1,971.16 "
51," 1,235.41 ", 353.36 ," 1,217.55 "," 4,608.12 ", 329.78 , 51.28 ," 2,174.49 "," 2,636.24 "," 1,172.31 "," 1,493.85 ", 294.38 , 392.34 ," 14,632.92 "," 8,477.79 ", 367.26 ," 7,869.22 "," 8,089.87 "," 1,835.51 "
52," 1,243.06 ", 391.54 , 604.44 ," 2,720.57 ", 222.16 , 53.23 ," 2,230.04 "," 1,944.60 ", 582.75 ," 1,150.65 ", 306.94 , 403.09 ," 11,897.92 "," 8,351.03 ", 376.01 ," 6,311.13 "," 5,541.93 ", 376.95 
53," 1,234.18 ", 363.18 ," 1,185.30 "," 3,870.05 ", 502.43 , 53.80 ," 2,163.48 "," 1,858.64 ", 656.97 ," 1,206.66 ", 325.06 , 394.03 ," 12,288.81 "," 6,731.34 ", 365.37 ," 6,279.78 "," 7,534.01 "," 1,812.25 "
