CW, Biomass , hydro , wind offshore , wind onshore , solar , other renewable , nuclear , brown coal , hard coal , fossil gas , hydrop pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , new exp MWh 
12, 986.83 , 329.05 , 127.60 ," 1,533.41 "," 1,185.27 ", 25.39 ," 2,452.68 "," 4,185.45 "," 2,574.76 ", 476.92 , 311.68 ," 1,921.66 "," 14,765.88 "," 11,919.93 ", 223.53 ," 11,611.47 "," 4,499.23 "," 2,034.26 "
13, 993.78 , 347.96 , 101.54 ," 1,260.17 ", 959.99 , 25.67 ," 2,264.85 "," 4,157.12 "," 2,862.29 ", 520.62 , 318.08 ," 1,786.22 "," 14,738.19 "," 12,416.82 ", 215.82 ," 11,591.09 "," 4,007.19 "," 1,596.05 "
14, 995.79 , 426.63 , 198.61 ," 4,148.06 ", 917.94 , 31.07 ," 2,364.06 "," 3,295.17 "," 1,116.45 ", 383.47 , 297.09 ," 1,332.07 "," 14,251.64 "," 8,987.37 ", 223.37 ," 8,491.21 "," 7,015.20 "," 2,088.42 "
15, 998.16 , 403.11 , 60.59 ," 1,103.35 "," 1,514.38 ", 36.92 ," 2,309.52 "," 3,799.01 "," 2,126.35 ", 334.21 , 253.54 ," 1,710.49 "," 13,604.22 "," 10,926.22 ", 193.74 ," 10,279.58 "," 4,370.05 "," 1,632.56 "
16, 985.62 , 438.98 , 198.21 ," 2,095.76 "," 1,618.53 ", 28.97 ," 2,369.84 "," 3,466.40 "," 1,987.88 ", 289.84 , 313.55 ," 1,470.77 "," 14,116.91 "," 10,204.75 ", 241.64 ," 9,584.72 "," 5,679.62 "," 1,560.34 "
17, 986.05 , 420.00 , 123.32 ," 1,000.21 "," 1,847.40 ", 31.63 ," 2,424.90 "," 3,465.26 "," 2,275.27 ", 237.25 , 280.95 ," 1,660.09 "," 13,799.72 "," 10,829.11 ", 199.83 ," 10,062.78 "," 4,689.57 "," 1,383.03 "
18, 992.67 , 460.00 , 101.56 ," 1,008.51 "," 1,366.42 ", 33.12 ," 2,400.85 "," 3,258.41 "," 2,097.39 ", 252.32 , 281.99 ," 1,442.72 "," 13,328.70 "," 10,852.53 ", 179.52 ," 9,451.69 "," 4,244.27 ", 912.23 
19, 981.80 , 502.76 , 268.27 ," 2,252.11 "," 1,387.39 ", 28.83 ," 2,363.42 "," 3,196.49 "," 1,449.38 ", 264.75 , 307.87 ," 1,242.84 "," 13,889.90 "," 9,982.44 ", 183.20 ," 8,516.88 "," 5,729.04 ", 784.27 
20, 981.99 , 523.13 , 195.12 ," 1,657.93 "," 1,694.47 ", 26.34 ," 2,351.83 "," 3,053.12 "," 1,019.89 ", 295.69 , 300.75 ," 1,204.63 "," 13,009.31 "," 9,462.15 ", 202.43 ," 7,925.15 "," 5,379.73 ", 575.53 
21, 989.62 , 525.00 , 138.95 ," 1,228.40 "," 1,487.11 ", 26.31 ," 2,358.01 "," 2,917.94 "," 1,828.30 ", 308.82 , 300.49 ," 1,510.21 "," 13,714.31 "," 10,860.18 ", 201.96 ," 8,923.28 "," 4,695.87 ", 265.08 
22," 1,001.33 ", 521.15 , 182.18 ," 1,357.48 "," 1,397.52 ", 26.42 ," 2,278.43 "," 2,885.59 "," 1,776.19 ", 296.08 , 321.38 ," 1,353.77 "," 13,019.70 "," 10,082.88 ", 201.20 ," 8,590.06 "," 4,807.46 ", 784.34 
23, 967.76 , 509.15 , 230.73 ," 2,188.97 "," 1,838.38 ", 23.82 ," 2,226.22 "," 3,207.05 "," 1,103.84 ", 300.25 , 319.64 ," 1,251.76 "," 13,303.56 "," 9,045.82 ", 221.85 ," 8,089.11 "," 6,078.44 "," 1,107.35 "
24, 952.63 , 502.28 , 137.95 , 930.34 ," 1,580.99 ", 27.03 ," 2,239.46 "," 3,380.32 "," 2,086.42 ", 292.39 , 303.80 ," 1,642.98 "," 13,754.85 "," 11,105.87 ", 172.91 ," 9,641.57 "," 4,435.02 ", 811.47 
25, 954.49 , 543.57 , 242.92 ," 1,292.48 "," 1,383.96 ", 28.98 ," 2,134.79 "," 3,327.96 "," 2,077.75 ", 263.92 , 284.01 ," 1,469.29 "," 13,560.49 "," 10,641.43 ", 139.95 ," 9,273.71 "," 4,730.41 ", 887.19 
26, 950.33 , 537.07 , 122.33 ," 1,100.17 "," 1,345.85 ", 29.60 ," 2,117.51 "," 3,522.20 "," 2,346.51 ", 234.32 , 295.58 ," 1,605.33 "," 13,698.07 "," 11,130.04 ", 161.07 ," 9,825.89 "," 4,380.92 ", 933.58 
27, 951.06 , 532.86 , 145.69 , 896.54 ," 2,072.70 ", 25.77 ," 1,980.39 "," 3,517.44 "," 2,527.15 ", 341.54 , 360.70 ," 1,650.55 "," 13,879.59 "," 10,765.00 ", 192.35 ," 10,017.07 "," 4,985.33 "," 1,411.08 "
28, 942.18 , 501.69 , 254.49 ," 1,975.87 "," 1,799.90 ", 23.47 ," 1,599.10 "," 3,558.44 "," 2,007.47 ", 327.44 , 292.56 ," 1,386.17 "," 13,908.24 "," 9,878.36 ", 192.44 ," 8,878.61 "," 5,790.15 "," 1,062.28 "
29, 955.90 , 467.44 , 143.98 ," 1,013.37 "," 1,470.94 ", 24.25 ," 1,620.45 "," 3,780.73 "," 2,501.29 ", 313.95 , 299.55 ," 1,681.15 "," 13,866.42 "," 11,238.49 ", 181.33 ," 9,897.57 "," 4,375.42 ", 852.76 
