CW, biomass , hydro , wind offshore , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gas , hydro pumped , other conventional , total gird load , residual load , reverse hydro , sum conventional , sum renewable , net exp 
40," 1,098.32 ", 476.88 , 452.98 ," 2,018.16 "," 1,146.44 ", 36.06 ," 2,604.56 "," 3,727.73 "," 1,943.99 ", 698.75 , 260.02 ," 1,235.62 "," 13,812.50 "," 10,195.23 ", 223.71 ," 10,210.65 "," 5,488.86 "," 2,378.11 "
41," 1,115.09 ", 437.18 , 470.61 ," 2,146.34 ", 672.70 , 40.19 ," 2,626.46 "," 3,846.93 "," 1,880.96 ", 856.94 , 246.32 ," 1,726.81 "," 13,732.97 "," 10,443.64 ", 194.64 ," 10,938.09 "," 5,128.42 "," 2,440.31 "
42," 1,119.41 ", 380.40 , 562.73 ," 1,627.61 ", 607.65 , 41.01 ," 2,636.58 "," 3,994.49 "," 2,482.56 ", 905.46 , 277.55 ," 1,640.71 "," 14,573.05 "," 11,775.35 ", 234.48 ," 11,659.82 "," 4,616.36 "," 2,204.78 "
43," 1,122.23 ", 371.57 , 429.40 ," 1,024.13 ", 497.56 , 41.81 ," 2,640.40 "," 4,025.14 "," 2,787.06 "," 1,020.93 ", 290.20 ," 1,843.53 "," 14,556.39 "," 12,605.62 ", 228.17 ," 12,317.06 "," 3,776.90 "," 1,933.97 "
44," 1,129.78 ", 409.74 , 431.17 ," 1,313.14 ", 435.10 , 42.51 ," 2,625.13 "," 3,959.28 "," 2,484.23 ", 977.24 , 291.41 ," 1,915.97 "," 14,581.56 "," 12,402.48 ", 234.60 ," 11,961.84 "," 4,052.84 "," 1,576.04 "
45," 1,139.56 ", 358.53 , 369.08 ," 1,700.04 ", 503.18 , 47.94 ," 2,616.52 "," 4,280.36 "," 2,455.16 ", 659.41 , 263.19 ," 1,550.32 "," 14,251.02 "," 11,679.01 ", 227.05 ," 11,561.77 "," 4,381.52 "," 2,395.83 "
46," 1,142.90 ", 429.17 , 324.49 ," 1,092.51 ", 275.46 , 49.21 ," 2,628.91 "," 4,375.69 "," 3,064.70 "," 1,163.67 ", 296.87 ," 1,852.55 "," 15,409.32 "," 13,717.16 ", 252.82 ," 13,085.52 "," 3,610.60 "," 1,892.08 "
47," 1,131.95 ", 412.97 , 611.69 ," 3,461.63 ", 305.76 , 48.94 ," 2,577.20 "," 3,777.08 "," 2,062.92 ", 801.29 , 282.12 ," 1,633.16 "," 15,617.45 "," 11,238.66 ", 274.31 ," 10,851.64 "," 6,255.07 "," 2,215.70 "
48," 1,140.35 ", 429.92 , 388.95 ," 2,409.46 ", 316.18 , 47.69 ," 2,509.07 "," 3,847.86 "," 2,626.79 ", 964.28 , 294.09 ," 1,732.35 "," 15,356.75 "," 12,242.43 ", 262.48 ," 11,680.35 "," 5,026.65 "," 1,914.08 "
49," 1,164.00 ", 405.61 , 490.30 ," 2,842.77 ", 463.26 , 50.80 ," 2,537.89 "," 3,688.87 "," 2,681.33 ", 901.27 , 290.39 ," 1,616.14 "," 15,820.88 "," 12,024.86 ", 250.15 ," 11,425.49 "," 5,707.13 "," 2,080.08 "
50," 1,185.62 ", 392.23 , 371.50 ," 2,414.24 ", 359.98 , 49.36 ," 2,514.63 "," 3,999.72 "," 2,886.74 "," 1,088.66 ", 310.82 ," 1,792.03 "," 15,976.87 "," 12,831.42 ", 230.95 ," 12,281.78 "," 5,083.74 "," 2,197.62 "
51," 1,191.35 ", 404.14 , 292.81 ," 1,597.90 ", 189.86 , 49.09 ," 2,262.97 "," 4,265.50 "," 3,119.90 "," 1,259.06 ", 321.00 ," 1,823.82 "," 15,652.71 "," 13,572.48 ", 240.56 ," 12,731.25 "," 4,046.15 "," 1,909.27 "
52," 1,190.52 ", 384.31 , 487.47 ," 2,430.02 ", 185.95 , 50.67 ," 2,016.99 "," 3,768.87 "," 2,613.16 "," 1,204.10 ", 315.31 ," 1,695.66 "," 14,967.84 "," 11,864.69 ", 225.47 ," 11,298.78 "," 5,044.24 "," 2,208.14 "
53," 1,180.34 ", 341.57 , 586.05 ," 3,907.27 ", 284.27 , 45.51 ," 1,505.17 "," 2,883.48 "," 1,240.91 ", 732.11 , 267.66 ," 1,210.30 "," 12,742.62 "," 7,965.32 ", 266.47 ," 7,571.96 "," 6,612.67 "," 1,866.27 "
