CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gas , hydro pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
32, 957.45 , 571.51 , 423.32 ," 1,338.66 "," 1,815.10 ", 33.66 ," 1,969.27 "," 2,476.45 ", 843.77 , 801.30 , 219.43 , 376.45 ," 13,005.28 "," 9,428.50 ", 200.95 ," 6,467.24 "," 5,359.13 ",-781.64 
33, 963.71 , 572.06 , 592.09 ," 1,822.05 "," 2,338.93 ", 35.12 ," 1,920.83 "," 2,432.85 ", 715.13 , 772.76 , 229.58 , 371.06 ," 13,043.08 "," 8,290.33 ", 235.83 ," 6,212.62 "," 6,553.53 ", 56.58 
34, 962.87 , 554.77 , 705.29 ," 2,906.45 "," 1,681.42 ", 33.78 ," 1,920.45 "," 2,509.20 ", 872.18 , 745.08 , 197.28 , 372.34 ," 13,421.01 "," 8,128.16 ", 204.84 ," 6,419.26 "," 7,041.86 ", 411.39 
35, 971.52 , 540.21 , 824.86 ," 2,236.83 "," 1,524.68 ", 34.89 ," 1,962.17 "," 2,658.44 "," 1,169.56 ", 765.12 , 215.65 , 355.09 ," 13,393.43 "," 8,807.39 ", 216.65 ," 6,910.39 "," 6,348.64 ", 346.20 
36, 979.04 , 531.92 , 396.14 ," 1,344.25 "," 1,803.71 ", 37.50 ," 1,974.26 "," 2,704.58 "," 1,888.53 ", 994.55 , 232.75 , 346.60 ," 13,540.24 "," 9,996.45 ", 234.12 ," 7,908.51 "," 5,325.32 ", 266.88 
37, 970.58 , 463.88 , 190.79 , 797.76 ," 2,069.93 ", 33.72 ," 1,966.59 "," 2,906.85 "," 2,391.79 "," 1,255.24 ", 250.63 , 315.51 ," 13,433.81 "," 10,375.65 ", 249.11 ," 8,835.98 "," 4,777.29 ", 593.92 
38, 972.19 , 422.60 , 483.95 ," 1,310.70 "," 1,421.28 ", 33.82 ," 1,977.15 "," 3,203.64 "," 2,393.17 "," 1,246.12 ", 233.94 , 316.37 ," 13,674.92 "," 10,459.30 ", 251.28 ," 9,136.45 "," 4,878.47 ", 853.73 
39, 987.19 , 372.58 , 647.58 ," 2,259.27 "," 1,394.86 ", 37.52 ," 1,904.02 "," 3,015.40 "," 2,074.22 ", 983.13 , 253.53 , 350.03 ," 13,800.82 "," 9,499.47 ", 309.54 ," 8,326.80 "," 5,952.54 ", 775.80 
40, 983.57 , 326.26 , 916.77 ," 2,896.73 "," 1,444.34 ", 39.91 ," 1,574.46 "," 3,062.07 "," 1,782.63 ", 903.00 , 261.20 , 366.62 ," 14,035.82 "," 8,778.35 ", 323.04 ," 7,688.78 "," 6,868.79 ", 768.99 
41, 997.39 , 326.62 , 675.21 ," 2,617.81 "," 1,111.28 ", 43.67 ," 1,586.66 "," 2,896.29 "," 1,799.70 "," 1,115.20 ", 230.92 , 359.37 ," 14,102.50 "," 9,698.51 ", 307.92 ," 7,757.22 "," 6,002.89 ",-13.00 
42," 1,007.82 ", 306.34 ," 1,012.39 "," 2,436.65 "," 1,120.32 ", 44.71 ," 1,758.20 "," 3,419.16 "," 2,115.45 "," 1,133.41 ", 207.16 , 373.26 ," 14,677.05 "," 10,108.05 ", 240.16 ," 8,799.47 "," 6,135.39 ", 805.64 
43," 1,011.29 ", 280.63 ," 1,055.02 "," 4,938.51 ", 894.10 , 42.33 ," 1,887.18 "," 2,830.85 "," 1,287.58 ", 974.96 , 288.42 , 353.18 ," 14,933.41 "," 8,046.10 ", 340.99 ," 7,333.76 "," 8,510.30 "," 1,324.96 "
44," 1,036.34 ", 270.23 ," 1,138.88 "," 3,324.14 "," 1,020.37 ", 43.89 ," 1,951.48 "," 3,116.58 "," 1,619.23 "," 1,059.48 ", 307.21 , 349.51 ," 14,856.57 "," 9,373.45 ", 347.49 ," 8,096.28 "," 7,141.07 ", 935.20 
45," 1,040.77 ", 283.98 , 803.83 ," 3,143.70 ", 564.75 , 44.53 ," 1,945.75 "," 2,730.73 "," 1,931.90 "," 1,408.26 ", 268.45 , 367.45 ," 14,617.37 "," 10,105.40 ", 310.20 ," 8,384.09 "," 6,150.02 ", 511.61 
46," 1,046.80 ", 283.22 , 816.27 ," 2,328.70 ", 617.67 , 50.53 ," 1,945.31 "," 3,202.72 "," 2,421.19 "," 1,919.47 ", 268.90 , 396.43 ," 15,156.15 "," 11,393.82 ", 311.10 ," 9,885.12 "," 5,412.08 ", 721.18 
47," 1,037.23 ", 292.16 , 891.87 ," 3,026.58 ", 220.74 , 51.90 ," 1,953.98 "," 3,391.30 "," 2,344.93 "," 1,609.45 ", 293.43 , 385.28 ," 14,930.29 "," 10,791.38 ", 359.74 ," 9,684.93 "," 5,813.92 ", 774.45 
48," 1,052.50 ", 266.48 ," 1,020.98 "," 2,170.58 ", 329.17 , 52.07 ," 1,948.21 "," 3,358.28 "," 2,749.12 "," 2,123.36 ", 303.66 , 432.13 ," 15,575.98 "," 12,055.53 ", 332.31 ," 10,611.11 "," 5,195.45 "," 1,155.14 "
49," 1,038.46 ", 278.25 , 952.24 ," 4,718.37 ", 222.17 , 45.27 ," 1,890.42 "," 3,094.64 "," 2,174.13 "," 1,586.34 ", 304.21 , 401.48 ," 16,290.15 "," 10,397.65 ", 328.93 ," 9,147.01 "," 7,558.97 "," 1,564.54 "
50," 1,059.86 ", 313.62 ," 1,050.91 "," 2,290.44 ", 211.67 , 53.66 ," 1,921.33 "," 3,565.50 "," 2,455.20 "," 2,130.71 ", 280.10 , 419.92 ," 16,016.00 "," 12,463.31 ", 298.44 ," 10,492.65 "," 5,260.27 ", 918.84 
51," 1,052.87 ", 305.80 , 799.72 ," 2,337.55 ", 167.71 , 53.47 ," 1,927.83 "," 3,262.93 "," 2,343.79 "," 2,116.31 ", 290.29 , 406.53 ," 15,561.27 "," 12,256.57 ", 305.59 ," 10,057.40 "," 5,007.41 ", 409.93 
52," 1,057.46 ", 274.21 , 487.40 ," 2,681.30 ", 340.59 , 50.65 ," 1,873.61 "," 3,497.69 "," 2,183.25 "," 1,748.57 ", 275.72 , 407.84 ," 14,359.84 "," 10,850.83 ", 326.34 ," 9,710.96 "," 5,167.35 "," 1,266.66 "
53," 1,031.39 ", 340.79 ," 1,038.17 "," 4,614.79 ", 236.43 , 43.43 ," 1,782.27 "," 2,713.98 "," 1,186.20 ", 921.40 , 302.92 , 379.22 ," 13,281.30 "," 7,392.16 ", 389.73 ," 6,983.06 "," 7,607.91 "," 2,160.07 "
