CW, biomass , hydro , wind off , wind on , solar , othe renewables , nuclear , brown coal , hard coal , fossil gas , hydro pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWH 
42," 1,101.57 ", 388.95 , 553.34 ," 1,812.74 ", 967.41 , 46.36 ," 2,519.94 "," 3,935.57 "," 2,237.18 ", 813.40 , 280.14 ," 1,316.10 "," 14,370.84 "," 11,037.67 ", 218.77 ," 10,822.19 "," 5,150.50 "," 2,117.10 "
43," 1,110.97 ", 393.14 , 740.61 ," 3,837.26 ", 452.82 , 49.41 ," 2,447.84 "," 3,661.27 "," 1,552.60 ", 713.46 , 258.48 ," 1,194.27 "," 14,688.78 "," 9,658.39 ", 250.88 ," 9,569.44 "," 6,842.70 "," 2,106.03 "
44," 1,138.14 ", 416.18 , 666.36 ," 3,174.60 ", 555.81 , 53.10 ," 2,431.21 "," 3,274.88 "," 1,391.74 ", 690.23 , 227.83 ," 1,412.62 "," 13,853.20 "," 9,456.72 ", 213.23 ," 9,200.67 "," 6,232.02 "," 2,064.08 "
45," 1,158.49 ", 446.07 , 526.02 ," 2,391.56 ", 234.29 , 55.28 ," 2,245.60 "," 4,040.06 "," 2,260.82 "," 1,058.11 ", 281.01 ," 1,689.50 "," 15,089.96 "," 11,938.36 ", 243.37 ," 11,294.09 "," 5,092.72 "," 1,913.77 "
46," 1,193.23 ", 503.13 , 578.57 ," 2,132.77 ", 278.71 , 56.20 ," 2,295.95 "," 3,986.39 "," 2,452.00 ", 965.50 , 294.19 ," 1,687.19 "," 15,311.06 "," 12,321.31 ", 217.68 ," 11,387.01 "," 5,036.80 "," 1,768.99 "
47," 1,198.81 ", 440.23 , 579.43 ," 4,327.02 ", 278.30 , 54.97 ," 2,477.57 "," 3,671.67 "," 1,986.36 ", 770.04 , 271.95 ," 1,408.88 "," 15,476.01 "," 10,291.56 ", 244.49 ," 10,314.53 "," 7,150.72 "," 2,429.83 "
48," 1,200.83 ", 448.21 , 515.70 ," 2,779.11 ", 206.04 , 58.03 ," 2,542.26 "," 4,073.21 "," 2,446.06 "," 1,082.29 ", 279.24 ," 1,713.39 "," 15,872.54 "," 12,371.98 ", 267.33 ," 11,857.20 "," 5,487.15 "," 2,229.34 "
49," 1,203.62 ", 396.74 , 907.18 ," 5,323.84 ", 175.56 , 58.46 ," 2,475.76 "," 3,761.71 "," 1,506.98 ", 777.06 , 178.18 ," 1,317.95 "," 16,273.52 "," 9,867.22 ", 379.81 ," 9,839.47 "," 8,243.57 "," 2,543.77 "
50," 1,205.37 ", 455.41 , 649.61 ," 4,528.44 ", 185.01 , 57.81 ," 2,508.30 "," 3,767.64 "," 1,775.73 ", 810.14 , 205.61 ," 1,522.82 "," 16,185.45 "," 10,822.64 ", 385.23 ," 10,384.62 "," 7,287.26 "," 2,298.35 "
51," 1,206.68 ", 462.27 , 382.59 ," 2,285.03 ", 107.08 , 56.52 ," 2,520.06 "," 3,765.18 "," 2,473.29 "," 1,038.78 ", 229.13 ," 1,645.54 "," 15,228.29 "," 12,453.88 ", 382.78 ," 11,442.85 "," 4,729.30 "," 1,677.74 "
52," 1,201.05 ", 406.99 , 833.24 ," 5,557.63 ", 186.83 , 51.69 ," 2,250.43 "," 2,300.28 ", 516.81 , 394.67 , 184.11 ," 1,082.54 "," 12,672.31 "," 6,094.93 ", 435.75 ," 6,544.72 "," 8,421.53 "," 2,617.97 "
53," 1,191.78 ", 454.13 , 887.10 ," 6,592.58 ", 208.20 , 44.26 ," 2,012.94 "," 1,624.83 ", 358.49 , 269.27 , 198.91 , 926.81 ," 11,667.28 "," 3,979.74 ", 447.58 ," 5,192.34 "," 9,576.96 "," 3,455.83 "
